window,electrode,term,beta,se,t,p,n_subjects,n_obs,random_effects,converged,llf,aic,bic
pre_cue,P1,group[T.experimental]:f2,0.02195514941079066,0.02912062733954649,0.7539380644102764,0.450886412825246,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P1,mean_trial_difficulty,0.023926735798700974,0.024979012439825664,0.9578735691148872,0.3381265158153536,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P2,Intercept,1.4738405402267696,0.034325118623640447,42.93766778745242,0.0,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,group[T.experimental],-0.03407553646939125,0.046113440508021214,-0.7389502083121292,0.4599372327950918,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,half[T.second],0.01481746309838064,0.003943898511205381,3.7570599386067745,0.00017192132918605283,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,f,-0.012712639237169041,0.008720500927270919,-1.4577877283876928,0.14489906181386328,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,group[T.experimental]:f,-0.006874204022881455,0.012317854403066387,-0.5580682964697327,0.5767977485015822,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,f2,-0.02058164903439855,0.019535023907011926,-1.053576854186032,0.29207669073188613,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,group[T.experimental]:f2,0.0035852695145922975,0.02806456010500189,0.12775078252351804,0.8983462006630631,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P2,mean_trial_difficulty,0.054913000842259176,0.024977543261434528,2.198494874675892,0.027913859399284438,70,5385,1 + f + f2,True,2616.376367618792,-5202.752735237584,-5103.8821463937265
pre_cue,P3,Intercept,1.3788927026917648,0.046404853845226496,29.714406757766497,5.0026652373042123e-194,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,group[T.experimental],-0.06366528804042314,0.06334349592633556,-1.0050801129521143,0.31485827528374943,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,half[T.second],0.017544875742920307,0.004070680525867954,4.310059615690271,1.632105416675926e-05,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,f,-0.011935356604234155,0.011096798788899404,-1.0755675426118023,0.28212070988374494,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,group[T.experimental]:f,-0.015226772364698006,0.01554719502265325,-0.9793903236250417,0.3273871563912527,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,f2,-0.04428108994606164,0.02344675166949429,-1.8885810098664602,0.05894799356343584,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,group[T.experimental]:f2,0.04493504508922468,0.03329387653974982,1.3496489372625737,0.17712861878128294,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P3,mean_trial_difficulty,0.04604007979504231,0.025745938279226686,1.7882463360129357,0.07373627360178076,70,5385,1 + f + f2,True,2417.256381784322,-4804.512763568644,-4705.642174724787
pre_cue,P4,Intercept,1.399050342689305,0.034243942613608386,40.855410794121845,0.0,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
